FirstTeam,SecondTeam,Date,W/L,HomeCourt
BKN,MIA,03/25/2023,W,0
ATL,IND,03/25/2023,W,1
IND,ATL,03/25/2023,L,0
DEN,MIL,03/25/2023,W,1
MIL,DEN,03/25/2023,L,0
UTA,SAC,03/25/2023,L,0
SAC,UTA,03/25/2023,W,1
PHX,PHI,03/25/2023,W,1
PHI,PHX,03/25/2023,L,0
LAC,NOP,03/25/2023,L,1
NOP,LAC,03/25/2023,W,0
MIA,BKN,03/25/2023,L,1
LAL,OKC,03/24/2023,W,1
OKC,LAL,03/24/2023,L,0
DAL,CHA,03/24/2023,L,1
PHX,SAC,03/24/2023,L,0
CHA,DAL,03/24/2023,W,0
CHI,POR,03/24/2023,W,0
SAC,PHX,03/24/2023,W,1
POR,CHI,03/24/2023,L,1
HOU,MEM,03/24/2023,L,0
MEM,HOU,03/24/2023,W,1
TOR,DET,03/24/2023,W,1
DET,TOR,03/24/2023,L,0
IND,BOS,03/24/2023,L,0
BOS,IND,03/24/2023,W,1
WAS,SAS,03/24/2023,W,1
SAS,WAS,03/24/2023,L,0
UTA,MIL,03/24/2023,L,1
MIL,UTA,03/24/2023,W,0
PHI,GSW,03/24/2023,L,0
GSW,PHI,03/24/2023,W,1
NYK,ORL,03/23/2023,L,0
OKC,LAC,03/23/2023,L,0
LAC,OKC,03/23/2023,W,1
BKN,CLE,03/23/2023,L,1
CLE,BKN,03/23/2023,W,0
ORL,NYK,03/23/2023,W,1
NOP,CHA,03/23/2023,W,1
CHA,NOP,03/23/2023,L,0
DAL,GSW,03/22/2023,L,1
NYK,MIA,03/22/2023,L,0
MIA,NYK,03/22/2023,W,1
IND,TOR,03/22/2023,W,0
TOR,IND,03/22/2023,L,1
UTA,POR,03/22/2023,L,1
PHI,CHI,03/22/2023,W,0
CHI,PHI,03/22/2023,L,1
PHX,LAL,03/22/2023,L,0
MEM,HOU,03/22/2023,W,1
HOU,MEM,03/22/2023,L,0
LAL,PHX,03/22/2023,W,1
MIN,ATL,03/22/2023,W,1
POR,UTA,03/22/2023,W,0
GSW,DAL,03/22/2023,W,0
ATL,MIN,03/22/2023,L,0
SAS,MIL,03/22/2023,L,0
MIL,SAS,03/22/2023,W,1
WAS,DEN,03/22/2023,L,1
DEN,WAS,03/22/2023,W,0
ORL,WAS,03/21/2023,W,1
OKC,LAC,03/21/2023,W,0
LAC,OKC,03/21/2023,L,1
BOS,SAC,03/21/2023,W,0
SAC,BOS,03/21/2023,L,1
ATL,DET,03/21/2023,W,1
DET,ATL,03/21/2023,L,0
SAS,NOP,03/21/2023,L,0
NOP,SAS,03/21/2023,W,1
WAS,ORL,03/21/2023,L,0
CLE,BKN,03/21/2023,W,0
BKN,CLE,03/21/2023,L,1
SAC,UTA,03/20/2023,L,0
UTA,SAC,03/20/2023,W,1
NYK,MIN,03/20/2023,L,1
CHA,IND,03/20/2023,W,1
IND,CHA,03/20/2023,L,0
CHI,PHI,03/20/2023,W,0
PHI,CHI,03/20/2023,L,1
MEM,DAL,03/20/2023,W,1
MIN,NYK,03/20/2023,W,0
GSW,HOU,03/20/2023,W,0
DAL,MEM,03/20/2023,L,0
