FirstTeam,SecondTeam,Date,W/L
BOS,MIL,02/14/2023,L
GSW,LAC,02/14/2023,L
ORL,TOR,02/14/2023,L
BKN,NYK,02/13/2023,L
MIN,DAL,02/13/2023,W
NOP,OKC,02/13/2023,W
ATL,CHA,02/13/2023,L
ORL,CHI,02/13/2023,W
PHI,HOU,02/13/2023,W
LAL,POR,02/13/2023,L
CLE,SAS,02/13/2023,W
UTA,IND,02/13/2023,W
MIA,DEN,02/13/2023,L
GSW,WAS,02/13/2023,W
DET,TOR,02/12/2023,L
MEM,BOS,02/12/2023,L
CHA,DEN,02/11/2023,L
CLE,CHI,02/11/2023,W
MIA,ORL,02/11/2023,W
IND,WAS,02/11/2023,L
BKN,PHI,02/11/2023,L
NYK,UTA,02/11/2023,W
GSW,LAL,02/11/2023,L
ATL,SAS,02/11/2023,W
DAL,SAC,02/11/2023,L
CHA,BOS,02/10/2023,L
SAC,DAL,02/10/2023,L
CLE,NOP,02/10/2023,W
IND,PHX,02/10/2023,L
SAS,DET,02/10/2023,L
NYK,PHI,02/10/2023,L
MIN,MEM,02/10/2023,L
OKC,POR,02/10/2023,W
HOU,MIA,02/10/2023,L
LAC,MIL,02/10/2023,L
TOR,UTA,02/10/2023,L
ORL,DEN,02/09/2023,W
BKN,CHI,02/09/2023,W
LAL,MIL,02/09/2023,L
ATL,PHX,02/09/2023,W
SAC,HOU,02/08/2023,W
IND,MIA,02/08/2023,L
DET,CLE,02/08/2023,L
POR,GSW,02/08/2023,W
BOS,PHI,02/08/2023,W
SAS,TOR,02/08/2023,L
DAL,LAC,02/08/2023,W
CHA,WAS,02/08/2023,L
MIN,UTA,02/08/2023,W
NYK,ORL,02/07/2023,W
ATL,NOP,02/07/2023,L
CHI,MEM,02/07/2023,L
DEN,MIN,02/07/2023,W
LAL,OKC,02/07/2023,L
PHX,BKN,02/07/2023,W
DET,BOS,02/06/2023,L
POR,MIL,02/06/2023,L
GSW,OKC,02/06/2023,W
DAL,UTA,02/06/2023,W
CLE,WAS,02/06/2023,W
HOU,SAC,02/06/2023,L
SAS,CHI,02/06/2023,L
BKN,LAC,02/06/2023,L
CLE,IND,02/05/2023,W
MIN,DEN,02/05/2023,W
MEM,TOR,02/05/2023,L
NYK,PHI,02/05/2023,W
SAC,NOP,02/05/2023,L
CHA,ORL,02/05/2023,L
MIA,MIL,02/04/2023,L
OKC,HOU,02/04/2023,W
ATL,DEN,02/04/2023,L
CHI,POR,02/04/2023,W
