FirstTeam,SecondTeam,Date,W/L
DAL,SAS,02/23/2023,W
TOR,NOP,02/23/2023,W
NOP,TOR,02/23/2023,L
IND,BOS,02/23/2023,L
BOS,IND,02/23/2023,W
GSW,LAL,02/23/2023,L
SAS,DAL,02/23/2023,L
LAL,GSW,02/23/2023,W
PHI,MEM,02/23/2023,W
LAC,PHX,02/16/2023,W
PHX,LAC,02/16/2023,L
WAS,MIN,02/16/2023,W
MIN,WAS,02/16/2023,L
CHI,MIL,02/16/2023,L
MIL,CHI,02/16/2023,W
NOP,LAL,02/15/2023,L
LAL,NOP,02/15/2023,W
CHA,SAS,02/15/2023,W
OKC,HOU,02/15/2023,W
HOU,OKC,02/15/2023,L
IND,CHI,02/15/2023,W
CHI,IND,02/15/2023,L
BKN,MIA,02/15/2023,W
DET,BOS,02/15/2023,L
BOS,DET,02/15/2023,W
MIA,BKN,02/15/2023,L
ATL,NYK,02/15/2023,L
NYK,ATL,02/15/2023,W
DEN,DAL,02/15/2023,W
UTA,MEM,02/15/2023,L
MEM,UTA,02/15/2023,W
DAL,DEN,02/15/2023,L
PHI,CLE,02/15/2023,W
SAS,CHA,02/15/2023,L
CLE,PHI,02/15/2023,L
WAS,POR,02/14/2023,W
POR,WAS,02/14/2023,L
SAC,PHX,02/14/2023,L
PHX,SAC,02/14/2023,W
BOS,MIL,02/14/2023,L
MIL,BOS,02/14/2023,W
GSW,LAC,02/14/2023,L
LAC,GSW,02/14/2023,W
ORL,TOR,02/14/2023,L
TOR,ORL,02/14/2023,W
BKN,NYK,02/13/2023,L
MIN,DAL,02/13/2023,W
NYK,BKN,02/13/2023,W
NOP,OKC,02/13/2023,W
OKC,NOP,02/13/2023,L
ATL,CHA,02/13/2023,L
CHA,ATL,02/13/2023,W
DAL,MIN,02/13/2023,L
ORL,CHI,02/13/2023,W
PHI,HOU,02/13/2023,W
HOU,PHI,02/13/2023,L
LAL,POR,02/13/2023,L
CLE,SAS,02/13/2023,W
SAS,CLE,02/13/2023,L
UTA,IND,02/13/2023,W
IND,UTA,02/13/2023,L
CHI,ORL,02/13/2023,L
MIA,DEN,02/13/2023,L
GSW,WAS,02/13/2023,W
WAS,GSW,02/13/2023,L
DEN,MIA,02/13/2023,W
POR,LAL,02/13/2023,W
DET,TOR,02/12/2023,L
TOR,DET,02/12/2023,W
MEM,BOS,02/12/2023,L
BOS,MEM,02/12/2023,W
CHA,DEN,02/11/2023,L
CLE,CHI,02/11/2023,W
MIA,ORL,02/11/2023,W
CHI,CLE,02/11/2023,L
IND,WAS,02/11/2023,L
WAS,IND,02/11/2023,W
ORL,MIA,02/11/2023,L
DEN,CHA,02/11/2023,W
BKN,PHI,02/11/2023,L
NYK,UTA,02/11/2023,W
UTA,NYK,02/11/2023,L
PHI,BKN,02/11/2023,W
GSW,LAL,02/11/2023,L
LAL,GSW,02/11/2023,W
ATL,SAS,02/11/2023,W
DAL,SAC,02/11/2023,L
SAC,DAL,02/11/2023,W
SAS,ATL,02/11/2023,L
CHA,BOS,02/10/2023,L
SAC,DAL,02/10/2023,L
DAL,SAC,02/10/2023,W
CLE,NOP,02/10/2023,W
IND,PHX,02/10/2023,L
SAS,DET,02/10/2023,L
NYK,PHI,02/10/2023,L
DET,SAS,02/10/2023,W
MIN,MEM,02/10/2023,L
NOP,CLE,02/10/2023,L
MEM,MIN,02/10/2023,W
OKC,POR,02/10/2023,W
HOU,MIA,02/10/2023,L
MIA,HOU,02/10/2023,W
BOS,CHA,02/10/2023,W
POR,OKC,02/10/2023,L
LAC,MIL,02/10/2023,L
MIL,LAC,02/10/2023,W
PHI,NYK,02/10/2023,W
TOR,UTA,02/10/2023,L
UTA,TOR,02/10/2023,W
PHX,IND,02/10/2023,W
ORL,DEN,02/09/2023,W
BKN,CHI,02/09/2023,W
CHI,BKN,02/09/2023,L
LAL,MIL,02/09/2023,L
ATL,PHX,02/09/2023,W
MIL,LAL,02/09/2023,W
PHX,ATL,02/09/2023,L
DEN,ORL,02/09/2023,L
SAC,HOU,02/08/2023,W
IND,MIA,02/08/2023,L
MIA,IND,02/08/2023,W
DET,CLE,02/08/2023,L
POR,GSW,02/08/2023,W
BOS,PHI,02/08/2023,W
CLE,DET,02/08/2023,W
GSW,POR,02/08/2023,L
HOU,SAC,02/08/2023,L
SAS,TOR,02/08/2023,L
PHI,BOS,02/08/2023,L
DAL,LAC,02/08/2023,W
LAC,DAL,02/08/2023,L
CHA,WAS,02/08/2023,L
MIN,UTA,02/08/2023,W
WAS,CHA,02/08/2023,W
TOR,SAS,02/08/2023,W
UTA,MIN,02/08/2023,L
NYK,ORL,02/07/2023,W
ATL,NOP,02/07/2023,L
CHI,MEM,02/07/2023,L
DEN,MIN,02/07/2023,W
MEM,CHI,02/07/2023,W
MIN,DEN,02/07/2023,L
NOP,ATL,02/07/2023,W
ORL,NYK,02/07/2023,L
LAL,OKC,02/07/2023,L
